區域別,性別,總計總計,總計本國籍合計,總計本國籍已設籍,總計本國籍未設籍,總計大陸地區合計,總計大陸地區已設籍,總計大陸地區未設籍,總計港澳地區合計,總計港澳地區已設籍,總計港澳地區未設籍,總計外國籍合計計,總計外國籍合計已設籍,總計外國籍合計未設籍,總計外國籍東南亞地區計小計,總計外國籍東南亞地區計已設籍,總計外國籍東南亞地區計未設籍,總計外國籍東南亞地區印尼,總計外國籍東南亞地區馬來西亞,總計外國籍東南亞地區新加坡,總計外國籍東南亞地區菲律賓,總計外國籍東南亞地區泰國,總計外國籍東南亞地區緬甸,總計外國籍東南亞地區越南,總計外國籍東南亞地區柬埔寨,總計外國籍東南亞地區寮國,總計外國籍其他國籍計小計,總計外國籍其他國籍計已設籍,總計外國籍其他國籍計未設籍,總計外國籍其他國籍日本,總計外國籍其他國籍韓國,總計外國籍其他國籍美國,總計外國籍其他國籍加拿大,總計外國籍其他國籍澳大利亞,總計外國籍其他國籍紐西蘭,總計外國籍其他國籍英國,總計外國籍其他國籍法國,總計外國籍其他國籍德國,總計外國籍其他國籍史瓦帝尼,總計外國籍其他國籍南非,總計外國籍其他國籍賴索托,總計外國籍其他國籍模里西斯,總計外國籍其他國籍其他,不同性別總計,不同性別本國籍合計,不同性別本國籍已設籍,不同性別本國籍未設籍,不同性別大陸地區合計,不同性別大陸地區已設籍,不同性別大陸地區未設籍,不同性別港澳地區合計,不同性別港澳地區已設籍,不同性別港澳地區未設籍,不同性別外國籍合計計,不同性別外國籍合計已設籍,不同性別外國籍合計未設籍,不同性別外國籍東南亞地區計小計,不同性別外國籍東南亞地區計已設籍,不同性別外國籍東南亞地區計未設籍,不同性別外國籍東南亞地區印尼,不同性別外國籍東南亞地區馬來西亞,不同性別外國籍東南亞地區新加坡,不同性別外國籍東南亞地區菲律賓,不同性別外國籍東南亞地區泰國,不同性別外國籍東南亞地區緬甸,不同性別外國籍東南亞地區越南,不同性別外國籍東南亞地區柬埔寨,不同性別外國籍東南亞地區寮國,不同性別外國籍其他國籍計小計,不同性別外國籍其他國籍計已設籍,不同性別外國籍其他國籍計未設籍,不同性別外國籍其他國籍日本,不同性別外國籍其他國籍韓國,不同性別外國籍其他國籍美國,不同性別外國籍其他國籍加拿大,不同性別外國籍其他國籍澳大利亞,不同性別外國籍其他國籍紐西蘭,不同性別外國籍其他國籍英國,不同性別外國籍其他國籍法國,不同性別外國籍其他國籍德國,不同性別外國籍其他國籍史瓦帝尼,不同性別外國籍其他國籍南非,不同性別外國籍其他國籍賴索托,不同性別外國籍其他國籍模里西斯,不同性別外國籍其他國籍其他,相同性別總計,相同性別本國籍合計,相同性別本國籍已設籍,相同性別本國籍未設籍,相同性別大陸地區合計,相同性別大陸地區已設籍,相同性別大陸地區未設籍,相同性別港澳地區合計,相同性別港澳地區已設籍,相同性別港澳地區未設籍,相同性別外國籍合計計,相同性別外國籍合計已設籍,相同性別外國籍合計未設籍,相同性別外國籍東南亞地區計小計,相同性別外國籍東南亞地區計已設籍,相同性別外國籍東南亞地區計未設籍,相同性別外國籍東南亞地區印尼,相同性別外國籍東南亞地區馬來西亞,相同性別外國籍東南亞地區新加坡,相同性別外國籍東南亞地區菲律賓,相同性別外國籍東南亞地區泰國,相同性別外國籍東南亞地區緬甸,相同性別外國籍東南亞地區越南,相同性別外國籍東南亞地區柬埔寨,相同性別外國籍東南亞地區寮國,相同性別外國籍其他國籍計小計,相同性別外國籍其他國籍計已設籍,相同性別外國籍其他國籍計未設籍,相同性別外國籍其他國籍日本,相同性別外國籍其他國籍韓國,相同性別外國籍其他國籍美國,相同性別外國籍其他國籍加拿大,相同性別外國籍其他國籍澳大利亞,相同性別外國籍其他國籍紐西蘭,相同性別外國籍其他國籍英國,相同性別外國籍其他國籍法國,相同性別外國籍其他國籍德國,相同性別外國籍其他國籍史瓦帝尼,相同性別外國籍其他國籍南非,相同性別外國籍其他國籍賴索托,相同性別外國籍其他國籍模里西斯,相同性別外國籍其他國籍其他
臺南市,男,841,823,823,0,1,0,1,4,0,4,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,3,3,3,0,2,0,0,1,0,0,0,0,0,1,839,821,821,0,1,0,1,4,0,4,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,3,3,3,0,2,0,0,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺南市,女,859,826,826,0,10,4,6,3,1,2,20,2,18,15,2,13,4,1,0,1,1,0,8,0,0,5,0,5,2,1,1,0,0,0,0,1,0,0,0,0,0,0,839,806,806,0,10,4,6,3,1,2,20,2,18,15,2,13,4,1,0,1,1,0,8,0,0,5,0,5,2,1,1,0,0,0,0,1,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新營區,男,24,23,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,23,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新營區,女,26,25,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹽水區,男,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹽水區,女,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白河區,男,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白河區,女,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柳營區,男,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柳營區,女,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
